source_id	teff_gspphot	logg_gspphot	mh_gspphot	azero_gspphot	teff_gspspec	logg_gspspec	mh_gspspec
5189591189709630848	6431.668	4.1754	-0.1675	0.0011	6260.0	3.93	-0.37
5226264369262069760					5113.0	2.83	-0.01
5340436007453765376	9357.333	3.9438	-0.0109	0.4083			
5350327935608641280					4536.0	0.8	-0.29
5433180809660129920					4078.0	0.99	-0.38
5790753501531735296	6677.8726	1.8739	-1.1774	0.6307	5511.0	2.94	0.49
5954772427071187200							
5973633346433006848	4970.812	2.4705	0.3681	1.5656			
5993142531016141184							
6061884479052350336	9624.616	4.0159	0.5011	0.6736			
6097937362195263232	4886.89	2.3202	-0.6546	0.1771			
6253768052825972096					5079.0	3.17	0.05
6313201187491421696	6010.9624	3.6196	-0.4261	0.0397	6248.0	3.81	-0.15
6383476717995042688	4762.0083	2.3105	0.2108	0.6254	4341.0	1.53	-0.2
6636319552928149120	6600.796	4.1789	-0.275	0.001	5984.0	3.75	-1.05
6725119410559325952	6576.4243	3.7071	0.1348	0.043			
234606575590548608	6741.4004	4.0942	-0.3649	0.1314			
455759531205386368					4342.0	1.37	-0.38
755915038665521664	6052.7183	4.0471	-0.5039	0.0009	6116.0	3.91	-0.27
1071133340038904320					5483.0	4.27	-0.06
1404099236551165952							
1809284149162801792					6278.0	3.72	0.15
3059232332239496192							
3105339763932735872	7845.789	3.6926	-1.3169	0.6577			
3113738765759456256	9372.864	4.1098	-0.7688	0.2332			
3220726225002041472							
3388285066862763008	8667.767	3.961	-0.9387	1.0273			
3423908002355226752	6882.8276	3.5945	-0.2498	0.2544			
3588936180766441728	6196.789	4.2553	-0.4696	0.0018	6355.0	4.25	-0.29
3802929318515846912	7127.9146	4.0357	-0.4258	0.0079	6723.0	3.39	-0.72
4046465195537598976	11272.793	3.4536	-0.05	0.9359			
4305269346323208832	5528.3247	4.432	-0.0071	0.0059	5571.0	4.27	-0.03
4317084732662988800	4716.67	2.2817	0.1651	0.684	4444.0	1.55	-0.16
4527379937876352256	6158.0034	4.1575	-0.4675	0.2002	6200.0	4.12	-0.06
4528235838966164480					4250.0	1.5	-0.26
4532910137776242816							
4563211509991465984					4605.0	2.05	0.07
4640538650945643776	5511.0312	4.4387	-0.1547	0.0085	5723.0	5.02	-0.17
4811800471874349952					7772.0	3.64	-0.36
4850518124578376832	5035.1377	2.6829	-0.2122	0.1736	4845.0	2.18	-0.2
5036834080756453248					4323.0	1.53	-0.27
5184277009492688768					4201.0	1.21	-0.4
5257823136118426496	8261.392	3.9738	-0.45	0.3126			
5263782111183170688					3987.0	0.87	-0.69
5308337620899396096					5085.0	2.26	0.24
5365276483365707392							
5415843297997619584	5170.2095	2.3366	0.1108	0.4898	4667.0	1.92	-0.04
5517718169916328448							
5624452470904759040	5018.475	2.9154	-0.0448	0.122	4938.0	2.56	0.05
5885798928786887040	10139.326	4.0759	0.7945	0.6035			
5941366940794274432					5312.0	2.89	0.18
5967118430795640448							
5967980997712695424							
5989751912034237312	6168.0825	4.053	-0.1858	0.1399	6028.0	3.93	0.11
